order_id,customer_id,sku,status,amount,currency,order_ts
  O002758  , c0104,sku004 ,Delivered ,62.48,  USD ,03/09/2026 18:58:42
O002657  , C0011  , SKU011, delivered,1451.01,AUD ,03/09/2026 02:25:49
 O002139  ,C0194  ,sku012, pending  ,"$1,114.94",  aud ,03/09/2026 09:04:59
O002336  , C0159,  Sku010,delivered,$123.32, NZD,2026-09-03 09:33:23
o002868, C0040 , SKU005  , Delivered, 997.87 ,Usd,2026-09-03 20:31:24
O002736 ,  C0253,sku013  ,Delivered,1448.41,Aud  ,03/09/2026 13:30:20
  o002097 , C0033, sku014 ,Shipped  ,452.79, nzd  ,03/09/2026 04:53:31
 O002452  ,  C0080  ,sku001  ,  delivered  , 353.86 ,AUD,2026-09-03 16:09:48
 O002131,C0273,  SKU014  ,  PENDING  , 655.51 , USD ,03/09/2026 07:47:52
O002514  ,C0297, Sku002 ,  shipped  ,$954.70, USD,03/09/2026 21:42:15
  o002310, c0179  , Sku020,  shipped,$174.26,Aud ,2026-09-03 17:07:10
  O002681  ,C0162 ,SKU009,  shipped, 120.11 ,Nzd ,2026-09-03 07:57:54
O002833  ,C0072  ,Sku001 ,  Pending  ,$953.64, Usd,2026-09-03 04:39:47
  O002301  , c0127, Sku005 ,Delivered  ,450.46,  NZD ,2026-09-03 09:46:48
  o002274, C0174 , SKU011  ,  delivered,"$1,161.38",usd ,2026-09-03 01:58:59
  O002019  , C0237,  SKU014,delivered  ,1401.08,nzd ,2026-09-03 08:25:38
  o002243, C0210  ,  SKU018 , delivered, 1192.48 ,USD ,03/09/2026 13:54:31
O002162, C0118 ,  sku009  ,Shipped , 1384.36 ,Nzd  ,2026-09-03 04:50:03
 O002318  ,C0091, SKU002 ,pending  ,$898.54,AUD  ,2026-09-03 01:26:58
O002428,c0004 ,  Sku018 ,DELIVERED ,25.27, AUD,03/09/2026 07:35:41
  O002702  , C0145,  sku019,  shipped ,"$1,216.35",  NZD  ,03/09/2026 16:00:48
  o002432,  C0194  ,  sku014, shipped ,421.89,usd  ,03/09/2026 06:52:16
 O002957 , C0146  ,  SKU019 , delivered, 159.86 , Aud,2026-09-03 08:28:40
O002636,  C0166,  SKU007 , SHIPPED,"$1,215.75", nzd  ,2026-09-03 04:17:57
